5 digit NTD ID,4 digit NTD ID,Agency,Mode,TOS,Active,Reporter Type,Organization Type ,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY, Fares FY , Operating Expenses FY , Average Cost per Trip FY , Average Fares per Trip FY 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TACOMA,WA,14,"Seattle, WA","1,010","3,059,393",292,"575,963",2020,12,2020,"842,269","116,883",7.21," $137,537 "," $8,854,626 ", $75.76 , $1.18 
00003,0003,Pierce County Transportation Benefit Area Authority,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TACOMA,WA,14,"Seattle, WA","1,010","3,059,393",292,"575,963",2020,12,2020,"20,506,691","4,755,960",4.31," $4,461,166 "," $67,727,590 ", $14.24 , $0.94 
00003,0003,Pierce County Transportation Benefit Area Authority,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TACOMA,WA,14,"Seattle, WA","1,010","3,059,393",292,"575,963",2020,12,2020,"11,957,330","397,472",30.08," $1,750,544 "," $3,836,144 ", $9.65 , $4.40 
00005,0005,City of Everett,DR,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",34,"110,629",2021,12,2021,"231,140","51,780",4.46," $92,388 "," $5,045,195 ", $97.44 , $1.78 
00005,0005,City of Everett,MB,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",34,"110,629",2021,12,2021,"2,992,866","761,882",3.93," $638,118 "," $14,827,456 ", $19.46 , $0.84 
00006,0006,City of Yakima,CB,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,248,"Yakima, WA",60,"129,534",33,"100,715",2020,12,2020,"383,801","11,581",33.14," $167,154 "," $469,343 ", $40.53 , $14.43 
00006,0006,City of Yakima,DR,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,248,"Yakima, WA",60,"129,534",33,"100,715",2020,12,2020,"113,830","36,910",3.08," $74,970 "," $723,776 ", $19.61 , $2.03 
00006,0006,City of Yakima,MB,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,248,"Yakima, WA",60,"129,534",33,"100,715",2020,12,2020,"2,252,508","536,746",4.20," $297,699 "," $6,576,229 ", $12.25 , $0.55 
00006,0006,City of Yakima,VP,DO,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,248,"Yakima, WA",60,"129,534",33,"100,715",2020,12,2020,"323,014","6,554",49.29," $34,430 "," $156,371 ", $23.86 , $5.25 
00007,0007,Lane Transit District,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,151,"Eugene, OR",87,"247,421",482,"317,600",2021,6,2021,"403,241","66,229",6.09," $104,744 "," $2,882,935 ", $43.53 , $1.58 
00007,0007,Lane Transit District,DR,TX,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,151,"Eugene, OR",87,"247,421",482,"317,600",2021,6,2021,"2,339,272","218,423",10.71," $8,762,361 "," $4,591,537 ", $21.02 , $40.12 
00007,0007,Lane Transit District,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,151,"Eugene, OR",87,"247,421",482,"317,600",2021,6,2021,"8,909,636","2,184,580",4.08," $406,034 "," $27,603,923 ", $12.64 , $0.19 
00007,0007,Lane Transit District,MB,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,151,"Eugene, OR",87,"247,421",482,"317,600",2021,6,2021,"237,122","10,434",22.73," $15,522 "," $399,072 ", $38.25 , $1.49 
00007,0007,Lane Transit District,RB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,151,"Eugene, OR",87,"247,421",482,"317,600",2021,6,2021,"4,834,019","1,807,241",2.67," $369,346 "," $13,344,469 ", $7.38 , $0.20 
00007,0007,Lane Transit District,VP,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,151,"Eugene, OR",87,"247,421",482,"317,600",2021,6,2021,"171,042","2,726",62.74," $34,916 "," $54,863 ", $20.13 , $12.81 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,CR,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",383,"1,577,164",2021,6,2021,,,,,,,  
00008,0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",383,"1,577,164",2021,6,2021,"1,812,134","244,846",7.40," $1,072,280 "," $20,995,421 ", $85.75 , $4.38 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,DR,TX,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",383,"1,577,164",2021,6,2021,"279,152","23,470",11.89," $101,940 "," $1,485,637 ", $63.30 , $4.34 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",383,"1,577,164",2021,6,2021,"77,157,997","14,817,505",5.21," $15,027,158 "," $162,592,118 ", $10.97 , $1.01 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",383,"1,577,164",2021,6,2021,"98,687,208","25,137,970",3.93," $23,267,151 "," $310,123,997 ", $12.34 , $0.93 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,SR,DO,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",383,"1,577,164",2021,6,2021,,,,,,,  
00008,0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",383,"1,577,164",2021,6,2021,"675,964","84,742",7.98," $60,066 "," $7,500,286 ", $88.51 , $0.71 
00011,0011,Valley Regional Transit,DR,DO,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,108,"Boise City, ID",134,"349,684",66,"737,790",2021,9,2021,,,,,,,  
00011,0011,Valley Regional Transit,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,108,"Boise City, ID",134,"349,684",66,"737,790",2021,9,2021,"519,023","95,260",5.45," $62,325 "," $5,057,913 ", $53.10 , $0.65 
00011,0011,Valley Regional Transit,MB,DO,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,108,"Boise City, ID",134,"349,684",66,"737,790",2021,9,2021,,,,,,,  
00011,0011,Valley Regional Transit,MB,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,108,"Boise City, ID",134,"349,684",66,"737,790",2021,9,2021,"3,840,376","829,122",4.63," $491,260 "," $12,337,736 ", $14.88 , $0.59 
00012,0012,Municipality of Anchorage,DR,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,149,"Anchorage, AK",85,"251,243",77,"202,396",2020,12,2020,"425,216","78,001",5.45," $129,368 "," $5,505,703 ", $70.59 , $1.66 
00012,0012,Municipality of Anchorage,MB,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,149,"Anchorage, AK",85,"251,243",77,"202,396",2020,12,2020,"7,737,765","1,710,144",4.52," $1,927,599 "," $26,094,821 ", $15.26 , $1.13 
00012,0012,Municipality of Anchorage,MB,PT,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,149,"Anchorage, AK",85,"251,243",77,"202,396",2020,12,2020,,,,,,,  
00012,0012,Municipality of Anchorage,VP,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,149,"Anchorage, AK",85,"251,243",77,"202,396",2020,12,2020,"5,906,839","146,075",40.44," $1,096,078 "," $1,279,609 ", $8.76 , $7.50 
00016,0016,RiverCities Transit,DR,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Longview,WA,431,"Longview, WA-OR",33,"63,952",31,"61,598",2021,12,2021,"79,231","26,071",3.04," $16,530 "," $1,320,469 ", $50.65 , $0.63 
00016,0016,RiverCities Transit,MB,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Longview,WA,431,"Longview, WA-OR",33,"63,952",31,"61,598",2021,12,2021,"724,132","169,320",4.28," $88,967 "," $3,288,329 ", $19.42 , $0.53 
00016,0016,RiverCities Transit,VP,DO,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Longview,WA,431,"Longview, WA-OR",33,"63,952",31,"61,598",2021,12,2021,,,,,,,  
00018,0018,Ben Franklin Transit,DR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,171,"Kennewick-Pasco, WA",102,"210,975",616,"302,460",2020,12,2020,"1,085,298","153,730",7.06," $71,340 "," $14,101,560 ", $91.73 , $0.46 
00018,0018,Ben Franklin Transit,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,171,"Kennewick-Pasco, WA",102,"210,975",616,"302,460",2020,12,2020,"122,270","19,573",6.25, $-   ," $1,095,490 ", $55.97 , $-   
00018,0018,Ben Franklin Transit,DR,TX,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,171,"Kennewick-Pasco, WA",102,"210,975",616,"302,460",2020,12,2020,,,,,,,  
00018,0018,Ben Franklin Transit,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,171,"Kennewick-Pasco, WA",102,"210,975",616,"302,460",2020,12,2020,"5,128,525","1,218,177",4.21," $250,954 "," $22,529,893 ", $18.49 , $0.21 
00018,0018,Ben Franklin Transit,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,171,"Kennewick-Pasco, WA",102,"210,975",616,"302,460",2020,12,2020,"7,545,861","221,933",34.00," $706,225 "," $2,077,072 ", $9.36 , $3.18 
00019,0019,Intercity Transit,CB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,195,"Olympia-Lacey, WA",106,"176,617",101,"192,400",2020,12,2020,"1,144,269","54,639",20.94, $-   ," $1,074,384 ", $19.66 , $-   
00019,0019,Intercity Transit,DR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,195,"Olympia-Lacey, WA",106,"176,617",101,"192,400",2020,12,2020,"949,004","143,104",6.63, $-   ," $15,843,190 ", $110.71 , $-   
00019,0019,Intercity Transit,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,195,"Olympia-Lacey, WA",106,"176,617",101,"192,400",2020,12,2020,"7,223,565","1,851,237",3.90," $8,674 "," $24,648,174 ", $13.31 , $0.00 
00019,0019,Intercity Transit,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,195,"Olympia-Lacey, WA",106,"176,617",101,"192,400",2020,12,2020,"9,706,611","284,796",34.08," $299,046 "," $2,303,078 ", $8.09 , $1.05 
00020,0020,Kitsap Transit,DR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,180,"Bremerton, WA",136,"198,979",396,"254,183",2021,12,2021,"1,050,416","151,029",6.96," $156,148 "," $12,980,709 ", $85.95 , $1.03 
00020,0020,Kitsap Transit,DR,TX,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,180,"Bremerton, WA",136,"198,979",396,"254,183",2021,12,2021,"20,142","1,991",10.12," $4,092 "," $147,574 ", $74.12 , $2.06 
00020,0020,Kitsap Transit,FB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,180,"Bremerton, WA",136,"198,979",396,"254,183",2021,12,2021,"5,366,829","562,589",9.54," $2,098,269 "," $13,769,540 ", $24.48 , $3.73 
00020,0020,Kitsap Transit,FB,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,180,"Bremerton, WA",136,"198,979",396,"254,183",2021,12,2021,,,,,,,  
00020,0020,Kitsap Transit,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,180,"Bremerton, WA",136,"198,979",396,"254,183",2021,12,2021,"4,993,449","946,001",5.28," $1,889,919 "," $26,646,477 ", $28.17 , $2.00 
00020,0020,Kitsap Transit,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,180,"Bremerton, WA",136,"198,979",396,"254,183",2021,12,2021,"1,278,049","63,723",20.06," $134,449 "," $847,124 ", $13.29 , $2.11 
00021,0021,Whatcom Transportation Authority,DR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,275,"Bellingham, WA",48,"114,473",776,"225,928",2021,12,2021,"636,624","134,308",4.74," $38,926 "," $11,357,629 ", $84.56 , $0.29 
00021,0021,Whatcom Transportation Authority,DR,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,275,"Bellingham, WA",48,"114,473",776,"225,928",2021,12,2021,,,,,,,  
00021,0021,Whatcom Transportation Authority,DR,TX,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,275,"Bellingham, WA",48,"114,473",776,"225,928",2021,12,2021,,,,,,,  
00021,0021,Whatcom Transportation Authority,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,275,"Bellingham, WA",48,"114,473",776,"225,928",2021,12,2021,"5,328,249","1,714,220",3.11," $590,632 "," $23,263,325 ", $13.57 , $0.34 
00021,0021,Whatcom Transportation Authority,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,275,"Bellingham, WA",48,"114,473",776,"225,928",2021,12,2021,"561,894","15,874",35.40," $55,273 "," $115,881 ", $7.30 , $3.48 
00022,0022,City of Pocatello,DR,DO,Active,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",POCATELLO,ID,395,"Pocatello, ID",31,"69,809",27,"169,849",2020,9,2020,,,,,,,  
00022,0022,City of Pocatello,MB,DO,Active,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",POCATELLO,ID,395,"Pocatello, ID",31,"69,809",27,"169,849",2020,9,2020,,,,,,,  
00023,0023,City of Seattle,MG,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,14,"Seattle, WA","1,010","3,059,393",83,"753,655",2020,12,2020,"268,514","298,349",0.90," $695,044 "," $2,264,585 ", $7.59 , $2.33 
00023,0023,City of Seattle,MO,PT,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,14,"Seattle, WA","1,010","3,059,393",83,"753,655",2020,12,2020,,,,,,,  
00024,0024,Clark County Public Transportation Benefit Area Authority,CB,DO,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,24,"Portland, OR-WA",524,"1,849,898",143,"431,605",2020,12,2020,,,,,,,  
00024,0024,Clark County Public Transportation Benefit Area Authority,DR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,24,"Portland, OR-WA",524,"1,849,898",143,"431,605",2020,12,2020,"800,411","112,524",7.11," $244,101 "," $11,272,156 ", $100.18 , $2.17 
00024,0024,Clark County Public Transportation Benefit Area Authority,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,24,"Portland, OR-WA",524,"1,849,898",143,"431,605",2020,12,2020,"18,361,933","3,696,783",4.97," $3,194,904 "," $43,689,540 ", $11.82 , $0.86 
00024,0024,Clark County Public Transportation Benefit Area Authority,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,24,"Portland, OR-WA",524,"1,849,898",143,"431,605",2020,12,2020,"593,669","23,142",25.65," $113,968 "," $423,908 ", $18.32 , $4.92 
00025,0025,Salem Area Mass Transit District,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,156,"Salem, OR",76,"236,632",68,"230,118",2020,6,2020,"766,037","114,522",6.69," $166,831 "," $5,803,855 ", $50.68 , $1.46 
00025,0025,Salem Area Mass Transit District,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,156,"Salem, OR",76,"236,632",68,"230,118",2020,6,2020,"8,014,905","2,619,250",3.06," $1,771,170 "," $28,535,939 ", $10.89 , $0.68 
00025,0025,Salem Area Mass Transit District,MB,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,156,"Salem, OR",76,"236,632",68,"230,118",2020,6,2020,"1,283,822","81,647",15.72," $118,138 "," $1,453,046 ", $17.80 , $1.45 
00025,0025,Salem Area Mass Transit District,VP,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,156,"Salem, OR",76,"236,632",68,"230,118",2020,6,2020,"2,197,116","59,152",37.14," $290,192 "," $277,822 ", $4.70 , $4.91 
00028,0028,County of Pierce,FB,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",TACOMA,WA,14,"Seattle, WA","1,010","3,059,393",233,"844,295",2020,12,2020,"1,623,489","399,845",4.06," $2,740,926 "," $4,920,011 ", $12.30 , $6.85 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,CB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",258,"829,856",2020,12,2020,"5,743,419","361,446",15.89," $1,365,841 "," $12,131,087 ", $33.56 , $3.78 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,CB,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",258,"829,856",2020,12,2020,"9,060,455","498,511",18.18," $5,464,010 "," $11,233,974 ", $22.54 , $10.96 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",258,"829,856",2020,12,2020,"763,970","69,387",11.01," $134,061 "," $9,926,526 ", $143.06 , $1.93 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",258,"829,856",2020,12,2020,"26,809,058","4,445,897",6.03," $4,209,241 "," $88,919,609 ", $20.00 , $0.95 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,MB,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",258,"829,856",2020,12,2020,,,,,,,  
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EVERETT,WA,14,"Seattle, WA","1,010","3,059,393",258,"829,856",2020,12,2020,"6,798,599","302,038",22.51," $1,509,559 "," $3,387,575 ", $11.22 , $5.00 
00033,0R03-021,Senior Services of Snohomish County,DR,DO,Active,,,Seattle,WA,14,"Seattle, WA",,,,,2007,,,,,,,,,  
00034,0034,Rogue Valley Transportation District,DR,DO,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,MEDFORD,OR,213,"Medford, OR",65,"154,081",78,"173,199",2021,6,2021,,,,,,,  
00034,0034,Rogue Valley Transportation District,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,MEDFORD,OR,213,"Medford, OR",65,"154,081",78,"173,199",2021,6,2021,"201,086","34,233",5.87," $81,837 "," $2,436,537 ", $71.18 , $2.39 
00034,0034,Rogue Valley Transportation District,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,MEDFORD,OR,213,"Medford, OR",65,"154,081",78,"173,199",2021,6,2021,"3,190,890","571,844",5.58," $676,054 "," $12,913,336 ", $22.58 , $1.18 
00034,0034,Rogue Valley Transportation District,VP,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,MEDFORD,OR,213,"Medford, OR",65,"154,081",78,"173,199",2021,6,2021,,,,,,,  
00035,0035,Washington State Ferries,FB,DO,Active,Full Reporter,State Government Unit or Department of Transportation,OLYMPIA,WA,14,"Seattle, WA","1,010","3,059,393","1,945","3,919,300",2021,6,2021,"108,124,700","15,326,725",7.05," $50,180,520 "," $270,794,003 ", $17.67 , $3.27 
00040,0040,Central Puget Sound Regional Transit Authority,CB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,"70,981,040","4,943,744",14.36," $10,300,192 "," $114,051,144 ", $23.07 , $2.08 
00040,0040,Central Puget Sound Regional Transit Authority,CB,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,"21,751,777","1,321,028",16.47," $3,409,438 "," $24,366,461 ", $18.45 , $2.58 
00040,0040,Central Puget Sound Regional Transit Authority,CR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,"31,890,678","1,265,882",25.19," $5,659,920 "," $54,345,918 ", $42.93 , $4.47 
00040,0040,Central Puget Sound Regional Transit Authority,DR,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,,,,,,,  
00040,0040,Central Puget Sound Regional Transit Authority,LR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,"49,794,569","7,900,122",6.30," $11,419,116 "," $151,434,821 ", $19.17 , $1.45 
00040,0040,Central Puget Sound Regional Transit Authority,LR,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,,,,,,,  
00040,0040,Central Puget Sound Regional Transit Authority,MB,DO,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,,,,,,,  
00040,0040,Central Puget Sound Regional Transit Authority,MB,PT,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","1,087","3,205,700",2020,12,2020,,,,,,,  
